,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Comoros,Billion Kwh,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.003,0.002,0.002,0.002,0,0
Congo (Brazzaville),Billion Kwh,0.099,0.102,0.174,0.229,0.248,0.288,0.265,0.275,0.286,0.393,0.485,0.474,0.421,0.355,0.319,0.348,0.451,0.446,0.339,0.25,0.292,0.331,0.392,0.339,0.327,0.351,0.368,0.332,0.371,0.327,0.426,0.783,0.977,0.961,0.942,0.916,0,0
Congo (Kinshasa),Billion Kwh,4.199,4.126,4.08,4.432,4.646,4.975,5.204,5.187,5.196,5.836,5.569,5.206,5.993,5.473,5.241,6.097,6.03,4.974,4.662,5.247,5.939,5.914,6.049,6.098,7.007,7.319,7.445,7.742,7.408,7.722,7.741,7.733,7.527,8.167,8.741,8.837,0,0
Cook Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0,0,0,0,0,0
Costa Rica,Billion Kwh,2.088,2.251,2.352,2.795,2.969,2.739,2.856,2.964,3.01,3.287,3.348,3.629,4.02,4.388,4.375,4.003,4.311,5.396,4.903,5.993,6.793,6.784,7.304,7.138,7.901,7.902,8.084,8.251,8.724,8.788,8.87,8.894,9.273,8.97,9.107,10.623,0,0
Cote dIvoire (IvoryCoast),Billion Kwh,1.345,1.726,1.731,1.067,0.369,1.344,1.179,1.216,1.227,1.25,1.309,1.242,1.038,1.087,1.162,1.766,1.764,1.86,1.363,1.736,1.746,1.782,1.712,1.814,1.838,1.533,1.607,1.894,1.997,2.182,1.671,1.82,1.837,1.658,1.964,1.443,0,0
Croatia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,4.304,4.32,4.887,5.217,7.166,5.236,5.408,6.526,5.795,6.483,5.311,4.827,6.894,6.294,5.97,4.237,5.225,6.742,9.207,5.238,5.214,9.191,9.847,7.453,0,0
Cuba,Billion Kwh,0.996,0.959,1.043,1.062,1.069,1.053,1.158,1.144,1.272,1.281,1.552,1.368,1.417,0.968,0.946,0.763,1.016,0.999,0.875,0.9831,1.0331,1.0051,1.0451,0.8481,0.876824,0.4881,0.4996,0.538286,0.711,0.7044,0.5626,0.575,0.686,0.835,0.78,0.801,0,0
Cyprus,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.015,0.031,0.067,0.176,0.255,0.329,0.311,0.396,0,0
Czech Republic,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64185,1.86585,2.40585,2.337,2.21001,1.98,2.496,2.4634,2.746,3.158,1.87,2.729,3.115,3.502,3.397,3.711,4.63,5.91,7.285,8.083,9.317,9.212,9.454,0,0
Denmark,Billion Kwh,0.03,0.031,0.028,0.036,0.028,0.027,0.129,0.229,0.332,0.427,0.867,1.122,1.466,1.791,1.974,2.12,2.421,3.313,4.31673,4.862,6.128,6.438,7.412,8.746,10.173,10.628,10.025,11.1,10.951,10.855,13.176,14.959,15.567,16.683,18.715,19.713,0,0
Djibouti,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Billion Kwh,0.009,0.01,0.009,0.015,0.016,0.014,0.013,0.014,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.019,0.019,0.02,0.027,0.032,0.032,0.027,0.03,0.029,0.034,0.027,0.027,0.021,0.02,0.0235,0.0235,0.0355,0.027,0.037,0.031,0.024,0,0
Dominican Republic,Billion Kwh,0.572,0.809,0.749,0.772,0.609,1.025,0.891,0.94,0.842,0.592,0.417,0.578,0.555,1.153,0.573,0.639,0.894,0.706,0.758,1.125,0.792,0.734,0.91,1.238,1.67,1.913,1.779,1.739,1.413,1.4925,1.4575,1.587,2.047,2.595,2.095,1.906,0,0
Ecuador,Billion Kwh,0.878,0.783,0.89,1.712,3.163,3.761,4.27,4.486,4.741,4.867,4.937,5.025,4.924,5.752,6.499,5.109,6.281,6.469,6.441,7.105,7.533,7,7.45,7.108617,7.337582,6.86404,7.73704,9.89704,11.39204,9.35004,8.78904,11.30304,12.414,11.289,11.842,13.513,0,0
Egypt,Billion Kwh,9.699,10.109,10.365,10.094,9.9,8.019,7.92,8.168,7.821,7.92,9.8751,8.5451,8.4551,10.3821,10.6401,11.3092,11.4492,11.8772,12.1102,15.1582,13.6972,15.2002,12.9342,13.2572,13.0412,13.0702,13.4122,16.1862,15.4662,13.8672,14.622,14.548,14.487,14.79,15.371,14.896,0,0
El Salvador,Billion Kwh,1.567,1.555,1.692,1.412,1.738,1.591,1.549,1.548,1.71,1.837,1.866,1.278,1.393,1.551,1.601,1.905,2.314,1.922,2.024,2.37,1.969,2.137,2.143,2.518,2.446,2.804,3.24,3.261,3.726,3.256,3.887,3.823,3.752,3.786,3.71,3.459,0,0
Equatorial Guinea,Billion Kwh,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.005,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.039,0.039,0.195,0.195,0.195,0.195,0,0
Eritrea,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0,0
Estonia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.008,0.007,0.011,0.017,0.017,0.019,0.019,0.03,0.049,0.06,0.111,0.13,0.145,0.197,0.541,1.044,1.179,1.477,1.28,1.462,1.63,0,0
Ethiopia,Billion Kwh,0.473,0.502,0.574,0.623,0.683,0.747,0.821,0.886,0.956,0.994,1.088,1.097,1.127,1.251,1.34,1.414,1.495,1.55,1.589,1.609,1.635,1.9721,2.003,2.257,2.496,2.805,3.226,3.351,3.2771,3.5133,4.9003,6.2373,7.5061,8.6111,9.4231,10.3371,0,0
Falkland Islands (Islas Malvinas),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.00025,0.00025,0.00025,0.0003,0.0003,0.002,0.002,0.005,0.006,0.007,0.007,0.007,0.009,0,0
Faroe Islands,Billion Kwh,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.049,0.062,0.071,0.074,0.074,0.083,0.073423,0.075605,0.07557,0.070144,0.075616,0.077047,0.070015,0.075785,0.075699,0.096088,0.087823,0.100952,0.108318,0.114912,0.119166,0.10789,0.106487,0.08076,0.107,0.11,0.111,0.156,0.189,0,0
Fiji,Billion Kwh,0,0,0,0.049,0.284,0.29,0.329,0.346,0.327,0.327,0.401,0.401,0.406,0.406,0.426,0.445,0.446,0.45002,0.438022,0.46995,0.4341,0.4831,0.4701,0.3641,0.3871,0.3591,0.3611,0.5381,0.5151,0.4801,0.4201,0.4611,0.532,0.532,0.405,0.412,0,0
Finland,Billion Kwh,10.115,13.518,12.958,13.445,13.115,12.211,12.266,13.658,13.229,12.9,15.906,18.065,19.909,19.304,18.142,19.416,17.897,20.31858,24.616,21.398,23.296,21.526,19.836,19.134,25.666,23.495,22.472,24.337,27.78,21.795,24.23,24.238,28.604,25.803,26.492,30.726,0,0
Former Czechoslovakia,Billion Kwh,4.8,4.2,3.7,3.9,3.2,4.3,4,4.853,4.355,4.229,3.919,3.119,3.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Serbia and Montenegro,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,11.23,10.395,11.016,12.071,14.266,12.636,12.763,13.243,11.88,12.326,11.633,9.752,11.01,11.912,0,0,0,0,0,0,0,0,0,0,0,0
