,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bulgaria,Billion Kwh,32.854,34.868,38.112,40.185,42.08,39.184,39.354,40.916,42.409,42.615,39.449,36.721,33.704,35.952,36.0665,39.569,41.067,39.854,39.253,35.912,38.3182,40.65336,40.75548,39.52822,38.79962,41.2454,42.68836,40.251732,41.72358,39.63248,43.13404,46.77994,43.72988,40.50458,44.33152,46.26692,0,0
Burkina Faso,Billion Kwh,0.098,0.108,0.115,0.117,0.113,0.115,0.122,0.133,0.143,0.153,0.174,0.182,0.19,0.205,0.206,0.232,0.263,0.282,0.312,0.348,0.318,0.327,0.36492,0.444662,0.472234,0.489468,0.519525,0.58152,0.589033,0.664416,0.537,0.579,0.594,0.694,0.822,0.944,0,0
Burma (Myanmar),Billion Kwh,1.435,1.352,1.502,1.622,1.823,2.038,2.157,2.226,2.14,2.402,2.389,2.579,2.892,3.267,3.459,3.894,3.79,4.261,3.939,4.413,4.90544,4.49898,4.98958,5.377,5.39294,5.80486,5.96066,6.1962,6.42794,6.80852,7.34572,9.652,10.47604,11.95356,13.74932,15.48174,0,0
Burundi,Billion Kwh,0.003,0.004,0.004,0.025,0.041,0.047,0.062,0.095,0.104,0.103,0.109,0.112,0.106,0.11,0.116,0.119,0.118,0.121,0.111,0.099,0.1,0.116,0.128,0.102,0.092,0.097,0.094,0.118,0.113,0.122,0.143,0.14,0.142,0.158,0.17,0.23,0,0
Cambodia,Billion Kwh,0.096,0.103,0.107,0.101,0.096,0.106,0.115,0.125,0.135,0.143,0.153,0.158,0.166,0.172,0.179,0.285,0.292,0.323,0.358,0.397,0.46718,0.50852,0.68612,0.72016,0.76862,0.9097,1.10934,1.40356,1.39398,1.18412,0.9433,0.9999,1.37536,1.72312,2.9716,4.23564,0,0
Cameroon,Billion Kwh,1.432,1.883,2.13,2.096,2.191,2.381,2.355,2.362,2.553,2.668,2.675,2.71,2.695,2.699,2.738,2.811,2.928,3.095,3.134,3.34,3.44372,3.50198,3.26092,3.63964,4.0596,3.95208,5.03274,5.1258,5.55668,5.64124,5.7612,5.78922,4.62016,5.38746,6.01492,6.61016,0,0
Canada,Billion Kwh,367.762,380.218,378.398,397.377,426.962,447.983,457.43,484.207,491.123,485.334,468.893,494.45,505.844,518.402,540.119,544.481,557.589,557.9599,546.054,563.105,588.325,572.26304,583.84104,572.28516,582.3085,606.268,592.569,612.9,614.663,595.05,583.6658,615.98788,615.93,643.8492,644.60394,647.04464,0,0
Cape Verde,Billion Kwh,0.015,0.015,0.021,0.022,0.026,0.027,0.028,0.031,0.033,0.033,0.039,0.05,0.057,0.066,0.075,0.078,0.083,0.088,0.096,0.11,0.138,0.155,0.171,0.187,0.206,0.222,0.236,0.253,0.27,0.281,0.323,0.337,0.348,0.402,0.467,0.462,0,0
Cayman Islands,Billion Kwh,0.058,0.066,0.078,0.089,0.104,0.117,0.129,0.151,0.167,0.183,0.212,0.22,0.221,0.237,0.268,0.279,0.281,0.282,0.284,0.31,0.39809,0.42471,0.4481,0.463,0.48563,0.394,0.486,0.546,0.578,0.5974,0.5935,0.594,0.587,0.596,0.605,0.624,0,0
Central African Republic,Billion Kwh,0.067,0.066,0.07,0.068,0.072,0.077,0.093,0.091,0.092,0.092,0.093,0.092,0.094,0.095,0.099,0.1,0.102,0.104,0.102,0.103,0.105,0.106,0.106,0.107,0.149,0.159,0.166,0.16,0.16,0.159,0.159,0.171,0.174,0.178,0.18,0.174,0,0
