,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Chile,Billion Kwh,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.963,1.033,1.743,1.75,1.786,1.879,1.738,1.743,1.161,1.01,0.941,2.075,1.951,1.814,2.038,1.797,1.438,2.705,3.121,4.353,2.579,5.011,5.263,6.322,7.248,8.965,0,0
China,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.004,0.011,0.017,0.026,0.388,2.968,1.524,2.823,2.748,2.915,3.056,3.211,3.343,3.524,3.814,4.623,6.474,8.318,29.811,48.145,79.347,111.335,143.436,206.113,242.799,294.882,0,0
Colombia,Billion Kwh,0.2,0.3,0.4,0.3,0.5,0.3,0.4,0.3,0.5,0.5,0.274,0.269,0.34,0.389,0.444,0.477,0.496,0.483,0.532,0.457,0.496,0.496,0.491,0.495,0.519,0.552,0.593,0.581,0.591,0.599,2.456,2.039,2.008,2.108,2.198,2.264,0,0
Comoros,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Kinshasa),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0.018,0.009,0.01,0,0
Cook Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0.00013,0,0,0,0,0,0
Costa Rica,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0.01,0.472,0.471,0.471,0.485,0.544,0.632,0.685,0.909,1.176,1.187,1.433,1.274,1.48,1.4,1.549,1.55,1.411,1.635,1.68,1.83,2.111,2.188,2.457,2.637,0,0
Cote dIvoire (IvoryCoast),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107,0.11,0.112,0.115,0.118,0.072,0.069,0.064,0.066,0.068,0.07,0.105,0,0
Croatia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.018,0.006,0.005,0.01,0.002,0.005,0.002,0.001,0.001,0,0,0.006,0.024,0.03,0.043,0.061,0.079,0.172,0.255,0.425,0.655,0.93,1.126,0,0
Cuba,Billion Kwh,0.9,0.9,1,1,1,1,1.1,1.1,1.2,1.2,1.449,1.264,1.337,0.887,0.897,0.69,0.922,0.87,0.779,0.8811,0.9451,0.9311,0.9401,0.7211,0.7901,0.4211,0.4071,0.4181,0.5741,0.5551,0.467,0.477,0.576,0.709,0.677,0.753,0,0
Cyprus,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.015,0.031,0.067,0.176,0.255,0.329,0.311,0.396,0,0
Czech Republic,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28685,0.42085,0.42385,0.388,0.528,0.598,0.832,0.723,0.713,0.691,0.501,0.73,0.759,0.977,1.329,1.707,2.225,3.135,5.335,5.976,6.613,7.303,7.675,0,0
Denmark,Billion Kwh,0,0,0,0,0,0,0.1,0.2,0.3,0.4,0.84,1.096,1.438,1.764,1.941,2.09,2.402,3.294,4.29,4.831,6.098,6.41,7.38,8.725,10.146,10.605,10.002,11.072,10.925,10.836,13.155,14.942,15.55,16.67,18.7,19.695,0,0
Djibouti,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominica,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0005,0.0005,0.001,0.001,0.001,0.001,0,0
Dominican Republic,Billion Kwh,0,0,0,0,0.1,0,0,0,0,0,0.026,0.026,0.027,0.035,0.045,0.041,0.04,0.048,0.032,0.037,0.038,0.038,0.039,0.045,0.07,0.005,0.029,0.038,0.029,0.0285,0.0225,0.056,0.263,0.712,0.772,0.972,0,0
Ecuador,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05004,0.67804,0.95004,0.21104,0.22004,0.23904,0.28104,0.298,0.36,0.499,0.548,0,0
Egypt,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0.0001,0.0011,0.0101,0.0102,0.0102,0.0102,0.0102,0.0242,0.1372,0.2212,0.2042,0.3682,0.5232,0.5522,0.6162,0.8312,0.9312,1.1332,1.706,1.743,1.497,1.572,1.687,1.598,0,0
El Salvador,Billion Kwh,0.5,0.8,0.9,0.6,0.7,0.4,0.3,0.4,0.4,0.4,0.44,0.441,0.42,0.395,0.412,0.449,0.45,0.507,0.474,0.621,0.806,0.985,1.015,1.067,1.072,1.14,1.283,1.527,1.693,1.756,1.808,1.817,1.91,2.001,1.997,2.11,0,0
Equatorial Guinea,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.004,0.004,0.004,0.004,0.004,0.004,0,0
Estonia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.005,0.008,0.013,0.013,0.014,0.012,0.024,0.036,0.038,0.089,0.116,0.124,0.169,0.509,1.017,1.149,1.435,1.254,1.435,1.603,0,0
Ethiopia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.02,0.005,0.0001,0,0,0,0,0,0,0.0141,0.0243,0.0183,0.0383,0.1921,0.3561,0.5001,0.7601,0,0
Falkland Islands (Islas Malvinas),Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0002,0.0002,0.00025,0.00025,0.00025,0.0003,0.0003,0.002,0.002,0.005,0.006,0.007,0.007,0.007,0.009,0,0
Faroe Islands,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000423,0.000605,0.00057,0.00058,0.00055,0.000546,0.000562,0.000523,0.000504,0.000553,0.002993,0.007509,0.010332,0.014978,0.015759,0.012969,0.015005,0.014,0.015,0.011,0.02,0.035,0.056,0,0
Fiji,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02002,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0301,0.0201,0.0201,0.0061,0.0051,0.007,0.005,0.004,0.006,0,0
Finland,Billion Kwh,0,0,0,0,0,0,0,0,0,0,5.156,5,4.953,5.963,6.473,6.62,6.155,8.199,9.716,8.746,8.783,8.453,9.168,9.639,10.747,9.849,11.093,10.302,10.839,9.236,11.487,11.96,11.937,13.131,13.252,14.142,0,0
Former Czechoslovakia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Serbia and Montenegro,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former U.S.S.R.,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.027,0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Yugoslavia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,Billion Kwh,1.2,1.2,1.7,1.3,1.5,1.4,1.4,1.4,1.3,2,2.203,2.397,2.437,2.298,2.494,2.767,2.954,3.3,3.314,3.779,4.216,4.996,5.389,5.808,6.15,6.523,7.665,10.132,12.083,14.742,17.519,21.773,26.547,28.004,31.124,37.166,0,0
French Guiana,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0,0
Gabon,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.003,0.008,0.008,0.008,0.009,0.009,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.009,0.009,0.009,0.012,0.011,0.012,0.012,0,0
"Gambia, The",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,5.939,6.508,6.873,8.659,9.415,10.071,11.321,14.364,13.809,19.533,23.013,28.562,33.896,42.0992,45.1002,54.2654,71.8624,77.833,81.443,90.091,112.356,128.105,135.777,150.156,175.068,0,0
"Germany, East",Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Germany, West",Billion Kwh,5.2,4.7,4.7,4,4.3,4.3,4.2,3.8,4.3,4.6,4.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.004,0.003,0,0
Gibraltar,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.002,0.002,0.145,0.139,0.113,0.138,0.153,0.149,0.23,0.358,0.614,0.938,0.885,1.267,1.385,1.489,1.839,2.028,2.457,2.83,3.191,4.245,4.935,8.088,7.801,8.864,0,0
Greenland,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0.03,0.0307,0.0307,0.0307,0.031,0.035,0.04,0.04,0.05,0.05,0.06,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.14,0.145,0.05,0.057,0.055,0.052,0,0
Guam,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
